departamento,distrito,establecimientos,tipousf,poblacion,familias,viviendas,indigenas,rural,ninguno,eduinicial,edusecundaria,eduterciaria,edunoaplica,ladrillo,madera,estaqueo,adobe,bloquedecemento,teja,paja,fibrocementooeternit,chapasdezinc,tierra,ladrillo2,baldosa,cemento,mosaico,electricidad,celular,heladera,tv,sedentarismo,obesidad,tabaquismo,alcoholismo,drogas,hipertension,diabetes,discapacidad,dis_mental,total_consultas,tesaireka,consejo_salud,sub_consejo_salud,devf1,devf2,devf3,devf4,assef1,healthf1,healthf2,consultas_capita,not_same_block
concepcion,HORQUETA,USF. CAPITAN SOSA - ESTANDAR,USF,2771,678,678,0,1,0.048999999,0.55431253,0.26741248,0.077589318,0.049801517,0.491,0.509,0,0,0,0.121,0.057,0.37200001,0.44999999,0.352,0.19499999,0.117,0.20999999,0.124,1,0.96600002,0.91799998,0.89700001,0.25870001,0.23199999,0.072999999,0.005,0.003,0.061000001,0.009,0.001443522,0.000721761,3551,0,0,1,0.26310405,-0.42981166,0.66545486,-0.19460012,0.61914623,0.12789077,-0.84044331,1.2814869,0
concepcion,HORQUETA,USF. CUARTELERO,USF,787,165,159,0,1,0.055,0.56670904,0.26556543,0.049555272,0.066073701,0.28299999,0.69199997,0,0,0,0.01,0.050000001,0.14,0.80000001,0.27000001,0.07,0.105,0.55000001,0.005,0.98000002,0.93000001,0.83999997,0.63999999,0.077,0.023,0.013,0.028999999,0.004,0.219,0.025,0.037828948,0,2689,0,0,0,-0.71106952,-0.31886679,-0.036322549,-1.8323117,-0.38154754,-0.02196634,2.5075788,3.4167726,0
concepcion,HORQUETA,USF. KURUPAAY LOMA - ESTANDAR,USF,1105,288,288,0,1,0.041999999,0.63200003,0.20299999,0.033,0.090000004,0.70899999,0.285,0.003,0,0,0.02,0.006,0.097999997,0.86000001,0.20999999,0.34999999,0.36000001,0.079999998,0,0.99699998,0.99699998,0.89499998,0.93000001,0.025,0.37099999,0.005,0.001,0,0.057999998,0.015,0.006,0.004,3586,0,0,1,1.4299417,-0.17213546,-0.4521051,-1.8840858,0.67502558,-0.33274058,-0.70878452,3.2452488,0
concepcion,HORQUETA,USF. NARANJATY - ESTANDAR,USF,2008,562,562,0,1,0.015438247,0.62998009,0.21962151,0.064741038,0.070219122,0.88800001,0.098999999,0.0088,0.0035,0,0.101,0.071000002,0.013,0.81099999,0.167,0.19400001,0.161,0.338,0.13500001,0.991,0.91799998,0.89499998,0.78100002,0.149,0.039999999,0.011,0.005,0,0.081,0.018999999,0.003,0.002,2724,0,0,1,1.7943965,-0.17212607,-1.6236951,-1.3793665,0.17513078,-0.31829551,-0.26014915,1.3565737,0
concepcion,HORQUETA,USF. PEGUAJHO LOMA - ESTANDAR,USF,3030,471,471,0,1,0.029042905,0.69,0.15000001,0.02,0.11,0.70899999,0.50411522,0,0.21090908,0,0.333,0.590303,0.36387783,0.3276414,0.31999999,0.37589285,0.32969698,0.082236841,0.124,1,0.89645779,0.63877821,0.70999998,0.11,0.037999999,0.00330033,0.004950495,0,0.074000001,0.008,0.001320132,0.001320132,4064,0,0,1,1.8982263,3.7653303,0.82114285,0.51046062,-0.79110152,-0.38271269,-0.75675386,1.3412541,0
concepcion,HORQUETA,USF. SANTA LIBRADA - ESTANDAR,USF,2440,572,572,82,1,0.029999999,0.55500001,0.255,0.039999999,0.12,0.51599997,0.484,0,0,0,0.07,0.030999999,0.121,0.778,0.266,0.093999997,0.208,0.43200001,0,0.98400003,0.93699998,0.88800001,0.73400003,0.433,0.54900002,0.155,0.005,0.003,0.1139,0.02,0.006,0.0098,3944,0,0,1,0.3978942,-0.41405827,-0.3271881,-1.491381,0.035477679,0.37687299,0.35336366,1.6163934,0
concepcion,HORQUETA,USF. TOTORA - ESTANDAR,USF,1002,249,220,73,1,0.11,0.56,0.22,0.1,0.01,0.55454546,0.41363636,0,0,0,0.12272727,0.009090909,0.031818181,0.28181818,0.15000001,0.15000001,0.25,0.66000003,0.33000001,0.94999999,0.94,0.88,0.85000002,0.63,0.008,0.011,0.007,0,0.15000001,0.029999999,0.003,0.003713707,1996,0,0,0,0.42007199,-0.65767449,-1.3050399,0.779728,0.35046306,-0.49684483,1.1994382,1.992016,0
san pedro,CAPIIBARY,USF. ARAPYAHU II - ESTANDAR,USF,2518,607,607,41,1,0.034000002,0.722,0.091200002,0.026000001,0.127,0.20999999,0.77999997,0,0,0,0.17,0.029999999,0.25,0.55000001,0.22,0.01,0.14,0.57999998,0.050000001,1,0.97500002,0.84299999,0.80000001,0.126,0.12899999,0.094999999,0.222,0.018999999,0.153,0.0504,0.0075,0.0043,6810,0,0,1,-0.65132767,-0.56898171,0.5012638,-0.36969408,0.12920065,4.9265165,1.6016395,2.7045274,1
san pedro,CAPIIBARY,USF. ARAPYAJHU I - ESTANDAR,USF,3418,749,749,181,0.94999999,0.01,0.597,0.20900001,0.023,0.15000001,0.19492657,0.75967956,0.024032043,0.005340454,0,0.19225635,0.089452602,0.28304407,0.42857143,0.39519358,0.13084112,0.16955942,0.25100133,0,0.87983978,0.70894527,0.73831773,0.72229642,0.14628437,0.076945581,0.067583382,0.017554125,0,0.051199533,0.022235226,0.005851375,0.002925688,5629,0,0,1,-0.53406441,-0.080394946,1.032895,-0.073881984,-0.63078868,-0.067914121,-0.49629727,1.6468695,0
san pedro,YATAITY DEL NORTE,USF. 12 DE JUNIO - ESTANDAR,USF,2449,608,608,0,1,0.039999999,0.60800326,0.28664762,0.030624745,0.035,0.24600001,0.75300002,0,0,0,0.131,0.094999999,0.24600001,0.52600002,0.266,0.15099999,0.2,0.38100001,0,0.986,0.85500002,0.97000003,0.96700001,0.2,0.17900001,0.142,0.055,0.002,0.090999998,0.011,0.005,0.004,2654,0,0,1,-0.49678591,-0.1091293,0.68659812,-0.55702776,0.87541848,0.61253315,-0.41821986,1.0837077,0
